tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt4806490	movie	Plunder	Plunder	0	2015	\N	\N	Action,Fantasy,Thriller

tt5271906	movie	Wir sind die Flut	Wir sind die Flut	0	2016	\N	84	Mystery,Sci-Fi

tt10740928	movie	The Estate	The Estate	0	2019	\N	\N	Comedy,Thriller

tt1478835	movie	Stiffed	Stiffed	0	2010	\N	\N	Comedy,Horror

tt0108362	movie	Toki rakujitsu	Toki rakujitsu	0	1992	\N	119	Biography,Drama

tt0397535	movie	Memoirs of a Geisha	Memoirs of a Geisha	0	2005	\N	145	Drama,Romance

tt2759076	movie	A Devil in God's House	A Devil in God's House	0	2013	\N	\N	Drama

tt0308878	movie	The Shape of Things	The Shape of Things	0	2003	\N	96	Comedy,Drama,Romance

tt1388441	movie	Mugavari	Mugavari	0	2000	\N	156	Drama,Romance

tt1194236	movie	Paathshaala	Get Educated: Paathshaala	0	2010	\N	122	Drama,Family

tt1454602	movie	100% lucha, el amo de los clones	100% lucha, el amo de los clones	0	2009	\N	80	Action,Adventure

tt6648468	movie	Interference	Interference	0	2018	\N	80	Crime,Drama,Mystery

tt2392373	movie	Kursk	Kursk	0	2012	\N	\N	Drama

tt2980698	movie	Document: Seijuku genchizuma	Document: Seijuku genchizuma	0	1995	\N	60	\N

tt0904068	movie	Love Me Not	Sarang-ttawin piryo-eopseo	0	2006	\N	119	Drama,Romance

tt3445270	movie	The Battered Bastards of Baseball	The Battered Bastards of Baseball	0	2014	\N	80	Documentary,Sport

tt1554921	movie	Born of War	Born of War	0	2014	\N	109	Action,Drama,Thriller

tt0335408	movie	Shararat	Shararat	0	2003	\N	\N	Musical

tt6137494	movie	Girl Followed	Girl Followed	0	2017	\N	90	Thriller

tt4965768	movie	Navetierra, un nuevo mundo en el fin del mundo	Navetierra, un nuevo mundo en el fin del mundo	0	2015	\N	\N	Documentary

tt1275799	movie	Il seme della discordia	Il seme della discordia	0	2008	\N	85	Comedy

tt0382188	movie	Mumbai Matinee	Mumbai Matinee	0	2003	\N	125	Comedy,Romance

tt0353328	movie	The First Amendment of Korea	Daehanminguk heonbeob je 1jo	0	2003	\N	108	Comedy,Drama

tt2436682	movie	The Duel	The Duel	0	2016	\N	110	Drama,Western

tt2737898	movie	Prom Queen: The Homecoming	Prom Queen: The Homecoming	0	2012	\N	120	Drama

tt7176048	movie	Bhalobasar Pratidan	Bhalobasar Pratidan	0	2001	\N	174	Drama,Romance

tt9344158	movie	The Stan Stylez Intergender Bonanza	The Stan Stylez Intergender Bonanza	0	2018	\N	\N	Sport

tt1294135	movie	Ankith Pallavi and Friends	Ankith Pallavi and Friends	0	2008	\N	130	Drama

tt0184878	movie	Les sanguinaires	Les sanguinaires	0	1997	\N	68	Drama

tt0334753	movie	Desire	Yok mang	0	2002	\N	89	Drama

tt2458954	movie	Lives in Flames	Lives in Flames	0	2012	\N	92	Drama,Music

tt0168740	movie	Boredom	L'ennui	0	1998	\N	122	Drama,Romance

tt1139615	movie	Pongerz	Pongerz	0	2007	\N	217	Comedy

tt2108180	movie	She Stoops to Conquer	National Theatre Live: She Stoops to Conquer	0	2012	\N	\N	Drama

tt1314655	movie	Devil	Devil	0	2010	\N	80	Horror,Mystery,Thriller

tt1591635	movie	The LBC: Smile Now, Cry Later	The LBC: Smile Now, Cry Later	0	2009	\N	92	Action

tt1838601	movie	Mon Ami	Mon Ami	0	2012	\N	96	Comedy,Crime

tt10362414	movie	Koekoek	Koekoek	0	2019	\N	\N	Comedy,Family,Fantasy

tt7570242	movie	Mayurakshi	Mayurakshi	0	2017	\N	102	Drama

tt0217811	movie	I Will Survive	Sobreviviré	0	1999	\N	102	Comedy,Drama,Romance

tt3960728	movie	Héroes	Héroes	0	2015	\N	\N	Comedy

tt0817228	movie	The Tattooist	The Tattooist	0	2007	\N	92	Horror,Thriller

tt1422735	movie	Rangamati	Rangamati	0	2008	\N	145	Drama

tt1996431	movie	Tomoka no yumemitakoto	Tomoka no yumemitakoto	0	2000	\N	46	\N

tt1948591	movie	A Sky Too Far to See	Mienai hodo no tôku no sora wo	0	2011	\N	99	Drama

tt5451118	movie	303	303	0	2018	\N	145	Comedy,Drama,Romance

tt6722726	movie	Come As You Are	Come As You Are	0	2019	\N	106	Comedy,Drama

tt2112177	movie	Kejarlah jodoh kau kutangkap	Kejarlah jodoh kau kutangkap	0	2011	\N	103	Comedy

tt0335106	movie	Fractured	Fractured	0	1996	\N	\N	Drama,Thriller

tt5716464	movie	Breathe	Breathe	0	2017	\N	118	Biography,Drama,Romance

tt0437182	movie	Family: Ties of Blood	Family: Ties of Blood	0	2006	\N	150	Action,Crime,Drama

tt0336716	movie	Lab en Kisses	Lab en Kisses	0	1997	\N	\N	Comedy

tt9892338	movie	No Dorai	No Dorai	0	2019	\N	150	Drama

tt0426073	movie	Bedlam	Kész cirkusz	0	2005	\N	74	Action,Comedy

tt0318642	movie	Saadu	Saadu	0	1994	\N	\N	Musical

tt0111068	movie	Sangharsh	Sangharsh	0	1999	\N	127	Action,Drama,Thriller

tt1152404	movie	X-mas, Inc.	Navidad, S.A.	0	2008	\N	110	Comedy

tt3724934	movie	This Is Not Happening	This Is Not Happening	0	2014	\N	87	Drama,Family

tt0251677	movie	Cuban Blood	Dreaming of Julia	0	2003	\N	109	Comedy,Drama

tt0366362	movie	Wo zhen xi jian dao gui	Wo zhen xi jian dao gui	0	2002	\N	74	Horror

tt1783393	movie	The Real American: Joe McCarthy	The Real American - Joe McCarthy	0	2011	\N	95	Biography,Documentary,Drama

tt0238588	movie	Shadow Magic	Shadow Magic	0	2000	\N	116	Drama,History,Romance

tt1645141	movie	Sironia	Sironia	0	2011	\N	105	Drama,Musical

tt2246675	movie	Elixir and Dust	Elixir and Dust	0	2008	\N	90	Drama

tt10074652	movie	Életreítéltek	Életreítéltek	0	2016	\N	52	Documentary,History

tt4061908	movie	The Fall of the Krays	The Fall of the Krays	0	2016	\N	116	Crime

tt4710870	movie	Daddy	Daddy	0	2015	\N	63	Drama,Family

tt7124742	movie	Four Springs	Four Springs	0	2017	\N	105	Documentary,Family,Music

